,Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Contract Date,Property Type,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Land Lease Expiry,Normalized Price,longitude,latitude
150,N.A.,160 Robinson Road #20 -07,55,Strata,1894000,34436,4-Oct-18,Office,Resale,1,6,68914,Central Region,Downtown Core,2110,,103.746025843729,1.40002893292858
151,GOLDHILL PLAZA,1 Goldhill Plaza #02 -33,113,Strata,2300000,20354,3-Oct-18,Office,Resale,11,30,308899,Central Region,Novena,99999,,103.842889374276,1.31782868139701
152,BOAT QUAY CONSERVATION AREA,14 Circular Road,100,Land,8800000,87824,3-Oct-18,Shop House,Resale,1,4,49370,Central Region,Singapore River,2825,,-1,-1
153,EASTGATE,"46 East Coast Road #09 -03,04",194,Strata,3153166,16253,2-Oct-18,Retail,Resale,15,42,428766,Central Region,Marine Parade,99999,,103.903338639255,1.30438466442562
154,THE PLAZA,7500A Beach Road #01 -339,27,Strata,650000,24074,1-Oct-18,Retail,Resale,7,19,199591,Central Region,Kallang,2067,,103.860828918228,1.29977475328951
155,KAMPONG GLAM CONSERVATION AREA,78 Arab Street,116,Land,6400000,55030,28-Sep-18,Shop House,Resale,7,19,199775,Central Region,Rochor,99999,,103.859219454369,1.30143831733381
156,INTERNATIONAL PLAZA,10 Anson Road #23 -11,87,Strata,1660000,19080,28-Sep-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
157,INTERNATIONAL PLAZA,10 Anson Road #16 -05,43,Strata,900000,20930,28-Sep-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
158,THE ARIZON,538 Geylang Road #02 -16,117,Strata,1100000,9402,28-Sep-18,Office,Resale,14,38,389493,Central Region,Geylang,99999,,103.886588867863,1.31371862266177
159,SINGAPORE SHOPPING CENTRE,"190 Clemenceau Avenue #02 -01, 02,03,11 ETC",656,Strata,10000000,15244,27-Sep-18,Office,Resale,9,23,239924,Central Region,Museum,2047,,103.844111318107,1.29815265394506
160,N.A.,"27,27A Eng Kong Terrace",142,Land,2600000,18336,26-Sep-18,Shop House,Resale,21,59,598999,Central Region,Bukit Timah,99999,,103.768353865617,1.33619220929165
161,SIM LIM SQUARE,1 Rochor Canal Road #04 -02G,37,Strata,1480000,40000,25-Sep-18,Retail,Resale,7,18,188504,Central Region,Rochor,2085,,103.853037816787,1.30302427590084
162,MACPHERSON MALL,"401 Macpherson Road #03 -20A, 21",71,Strata,1989000,28014,25-Sep-18,Retail,Resale,13,36,368125,Central Region,Toa Payoh,99999,,103.879294500005,1.33177054479921
163,N.A.,"1090,1090A Serangoon Road",130,Land,830000,6380,25-Sep-18,Shop House,Resale,12,32,328189,Central Region,Kallang,2048,,103.86502795905,1.32369523933371
164,HIGH STREET CENTRE,1 North Bridge Road #02 -15,38,Strata,638000,16789,24-Sep-18,Office,Resale,6,17,179094,Central Region,Downtown Core,2068,,103.84921712944,1.28998869553167
165,HIGH STREET PLAZA,77 High Street #01 -10,28,Strata,602778,21528,24-Sep-18,Office,Resale,6,17,179433,Central Region,Downtown Core,2826,,103.849358869172,1.29045407468311
166,ORCHARD TOWERS,400 Orchard Road #06 -02,30,Strata,700000,23333,24-Sep-18,Office,Resale,9,23,238875,Central Region,Orchard,99999,,103.82921413868,1.30697796554332
167,FORTUNE CENTRE,190 Middle Road #13 -01,206,Strata,3166000,15369,24-Sep-18,Office,Resale,7,18,188979,Central Region,Rochor,2079,,103.852286627386,1.30042241913977
168,GOLDEN MILE TOWER,6001 Beach Road #01 -58,19,Strata,429000,22579,21-Sep-18,Retail,Resale,7,19,199589,Central Region,Kallang,2068,,103.864140679249,1.30189174683935
169,THE CENTRAL,"8 Eu Tong Sen Street #12 -96,97",220,Strata,6600000,30000,21-Sep-18,Office,Resale,1,5,59818,Central Region,Singapore River,2100,,103.770859150717,1.33486390029772
170,N.A.,21 Boon Tat Street,163,Land,16500000,100979,20-Sep-18,Shop House,Resale,1,6,69620,Central Region,Outram,2883,,-1,-1
171,TANJONG PAGAR CONSERVATION AREA,22 Tanjong Pagar Road,155,Land,7280000,47059,18-Sep-18,Shop House,Resale,2,8,88445,Central Region,Outram,2099,,-1,-1
172,TRIO,11 Sam Leong Road #03 -08,98,Strata,2740259,27962,18-Sep-18,Retail,New Sale,8,20,207903,Central Region,Kallang,99999,,103.856932443349,1.30907778902532
173,SBF CENTER,160 Robinson Road #20 -03,70,Strata,2330000,33286,18-Sep-18,Office,Resale,1,6,68914,Central Region,Downtown Core,2110,,103.746025843729,1.40002893292858
174,N.A.,271A Changi Road,99,Land,990000,10020,18-Sep-18,Shop House,Resale,14,41,419753,East Region,Bedok,99999,,103.906268444665,1.3180446044858
175,N.A.,271 Changi Road,43,Land,2190000,51049,18-Sep-18,Shop House,Resale,14,41,419753,East Region,Bedok,99999,,103.906268444665,1.3180446044858
176,FOOK HAI BUILDING,150 South Bridge Road #01 -17,60,Strata,2500000,41667,18-Sep-18,Retail,Resale,1,5,58727,Central Region,Outram,2071,,-1,-1
177,THE ARIZON,538 Geylang Road #02 -14,107,Strata,1200000,11215,18-Sep-18,Office,Resale,14,38,389493,Central Region,Geylang,99999,,103.886588867863,1.31371862266177
178,TANJONG PAGAR CONSERVATION AREA,42 Craig Road,145,Land,6180000,42709,18-Sep-18,Shop House,Resale,2,8,89680,Central Region,Outram,2088,,-1,-1
179,KATONG SHOPPING CENTRE,865 Mountbatten Road #01 -29,28,Strata,850000,30357,18-Sep-18,Retail,Resale,15,43,437844,Central Region,Marine Parade,99999,,103.901515916971,1.30409731150953
180,UNION BUILDING,171 Tras Street #09 -177,36,Strata,785700,21825,17-Sep-18,Office,Resale,2,7,79025,Central Region,Downtown Core,99999,,-1,-1
181,N.A.,"142,144,146,148 Joo Chiat Road",697,Land,15000000,21518,17-Sep-18,Shop House,Resale,15,42,427422,Central Region,Geylang,99999,,103.899351067579,1.31338584550921
182,KAP,9 King Albert Park #01 -44,46,Strata,2000000,43478,14-Sep-18,Retail,Resale,21,59,598332,Central Region,Bukit Timah,99999,,103.779313809973,1.33684217543458
183,INTERNATIONAL PLAZA,10 Anson Road #15 -20,135,Strata,2688000,19911,14-Sep-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
184,SUNTEC CITY,"7 Temasek Boulevard #10 -01,02,03",1336,Strata,29479000,22065,14-Sep-18,Office,Resale,1,3,38987,Central Region,Downtown Core,2088,,-1,-1
185,THE CENTRAL,6 Eu Tong Sen Street #10 -12,59,Strata,1560000,26441,13-Sep-18,Office,Resale,1,5,59817,Central Region,Singapore River,2100,,103.765281975403,1.33568622948333
186,THE CENTRAL,8 Eu Tong Sen Street #18 -86,60,Strata,1555000,25917,13-Sep-18,Office,Resale,1,5,59818,Central Region,Singapore River,2100,,103.770859150717,1.33486390029772
187,SUNSHINE PLAZA,91 Bencoolen Street #06 -01,50,Strata,1030270,20605,11-Sep-18,Retail,Resale,7,18,189652,Central Region,Rochor,2096,,103.851046126825,1.30034767173014
188,STARS OF KOVAN,988 Upper Serangoon Road #01 -28,39,Strata,1980740,50788,11-Sep-18,Retail,New Sale,19,53,534733,North East Region,Hougang,2114,,103.887207500102,1.36147765901138
189,GB BUILDING,"143 Cecil Street #09 -01,02,03,04",484,Strata,9117500,18838,11-Sep-18,Office,Resale,1,6,69542,Central Region,Downtown Core,2081,,-1,-1
190,PEOPLE~S PARK CENTRE,101A Upper Cross Street #13 -15,78,Strata,1250000,16026,10-Sep-18,Office,Resale,1,5,58358,Central Region,Outram,2069,,-1,-1
191,FORTUNE CENTRE,190 Middle Road #04 -23,38,Strata,800000,21053,10-Sep-18,Retail,Resale,7,18,188979,Central Region,Rochor,2079,,103.852286627386,1.30042241913977
192,N.A.,27 Lorong 13 Geylang,133,Strata,2200000,16541,10-Sep-18,Shop House,Resale,14,38,388670,Central Region,Geylang,99999,,103.877216420311,1.31372848381861
193,THE ARIZON,538 Geylang Road #02 -09,107,Strata,1200000,11215,10-Sep-18,Office,Resale,14,38,389493,Central Region,Geylang,99999,,103.886588867863,1.31371862266177
194,GOLDEN MILE TOWER,6001 Beach Road #B1 -62,35,Strata,580000,16571,10-Sep-18,Retail,Resale,7,19,199589,Central Region,Kallang,2068,,103.864140679249,1.30189174683935
195,TONG ENG BUILDING,101 Cecil Street #12 -05,75,Strata,2018888,26919,7-Sep-18,Office,Resale,1,6,69533,Central Region,Downtown Core,2884,,-1,-1
196,TONG ENG BUILDING,101 Cecil Street #12 -04,43,Strata,1158888,26951,7-Sep-18,Office,Resale,1,6,69533,Central Region,Downtown Core,2884,,-1,-1
197,CITY GATE,371 Beach Road #02 -23,40,Strata,1751200,43780,7-Sep-18,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
198,DESKER ROAD CONSERVATION AREA,96 Desker Road,111,Land,2500000,22604,6-Sep-18,Shop House,Resale,8,20,209618,Central Region,Rochor,99999,,103.855889651305,1.30840243407117
199,FAR EAST SHOPPING CENTRE,545 Orchard Road #02 -03,41,Strata,1650000,40244,6-Sep-18,Retail,Resale,9,23,238882,Central Region,Orchard,2870,,103.829984821742,1.30550610776289
200,SIM LIM TOWER,10 Jalan Besar #03 -12,43,Strata,1038000,24140,5-Sep-18,Retail,Resale,8,20,208787,Central Region,Rochor,99999,,103.854661432233,1.30377219987196
201,BYLANDS BUILDING,135 Middle Road #04 -10,25,Strata,460000,18400,5-Sep-18,Office,Resale,7,18,188975,Central Region,Rochor,2077,,103.852615587406,1.29926160404458
202,THE ARCADE,11 Collyer Quay #01 -20,16,Strata,2600000,162500,4-Sep-18,Retail,Resale,1,4,49317,Central Region,Downtown Core,2078,,-1,-1
203,ROXY SQUARE,50 East Coast Road #01 -53,27,Strata,739000,27370,4-Sep-18,Retail,Resale,15,42,428769,Central Region,Marine Parade,11979,,103.904051120306,1.304325999049
204,ONE-NORTH RESIDENCES,9 One-North Gateway #01 -48,34,Strata,838000,24647,4-Sep-18,Retail,Resale,5,13,138643,Central Region,Queenstown,2104,,103.790000677857,1.3017332215462
205,WOODS SQUARE,12 Woodlands Square #05 -87,52,Strata,1129949,21730,3-Sep-18,Office,New Sale,25,73,737715,North Region,Woodlands,2113,,103.784539481204,1.4353056289408
206,ORCHARD TOWERS,1 Claymore Drive #02 -18,24,Strata,780000,32500,3-Sep-18,Retail,Resale,9,22,229594,Central Region,Orchard,99999,,103.829476735628,1.30758079522772
207,WOODS SQUARE,12 Woodlands Square #05 -86,52,Strata,1129949,21730,3-Sep-18,Office,New Sale,25,73,737715,North Region,Woodlands,2113,,103.784539481204,1.4353056289408
208,WOODS SQUARE,12 Woodlands Square #05 -85,52,Strata,1129949,21730,3-Sep-18,Office,New Sale,25,73,737715,North Region,Woodlands,2113,,103.784539481204,1.4353056289408
209,SIM LIM TOWER,10 Jalan Besar #B1 -36,54,Strata,1220000,22593,3-Sep-18,Retail,Resale,8,20,208787,Central Region,Rochor,99999,,103.854661432233,1.30377219987196
210,N.A.,20 Buffalo Road,95,Land,4000000,42239,3-Sep-18,Shop House,Resale,8,21,219789,Central Region,Rochor,2092,,103.851164695105,1.30659226367637
211,THE CENTRAL,8 Eu Tong Sen Street #24 -84,86,Strata,2025000,23547,30-Aug-18,Office,Resale,1,5,59818,Central Region,Singapore River,2100,,103.770859150717,1.33486390029772
212,PARKWAY PARADE,80 Marine Parade Road #11 -02,148,Strata,2500000,16892,29-Aug-18,Office,Resale,15,44,449269,Central Region,Marine Parade,2078,,103.905279491524,1.30106975506311
213,STARS OF KOVAN,988 Upper Serangoon Road #01 -05,48,Strata,3319340,69153,29-Aug-18,Retail,New Sale,19,53,534733,North East Region,Hougang,2114,,103.887207500102,1.36147765901138
214,HIGH STREET CENTRE,1 North Bridge Road #22 -10,73,Strata,1375500,18842,28-Aug-18,Office,Resale,6,17,179094,Central Region,Downtown Core,2068,,103.84921712944,1.28998869553167
215,TRIPLEONE SOMERSET,111 Somerset Road #09 -08,88,Strata,2538576,28847,28-Aug-18,Office,New Sale,9,23,238164,Central Region,Orchard,2074,,103.837317149115,1.30020622455912
216,TRIPLEONE SOMERSET,111 Somerset Road #09 -07,88,Strata,2538576,28847,28-Aug-18,Office,New Sale,9,23,238164,Central Region,Orchard,2074,,103.837317149115,1.30020622455912
217,N.A.,"26A,26C Lorong Mambong",266,Strata,13000000,48927,28-Aug-18,Shop House,Resale,10,27,277685,Central Region,Bukit Timah,99999,,103.794782945149,1.31169404433952
218,TANJONG PAGAR CONSERVATION AREA,24 Tanjong Pagar Road,163,Land,7200000,44226,28-Aug-18,Shop House,Resale,2,8,88447,Central Region,Outram,2099,,-1,-1
219,CONCORDE SHOPPING CENTRE,317 Outram Road #B1 -39,18,Strata,280000,15556,27-Aug-18,Office,Resale,3,16,169075,Central Region,Bukit Merah,2079,,103.834188169497,1.28896763517978
220,THE PROMENADE@PELIKAT,183 Jalan Pelikat #B2 -09,15,Strata,305000,20333,24-Aug-18,Retail,Resale,19,53,537643,North East Region,Hougang,99999,,103.887857183262,1.35530904178245
221,CUPPAGE PLAZA,5 Koek Road #04 -11,37,Strata,745000,20135,23-Aug-18,Retail,Resale,9,22,228796,Central Region,Orchard,2078,,103.840725754068,1.30198321610318
222,CUPPAGE PLAZA,5 Koek Road #04 -10,32,Strata,745000,23281,23-Aug-18,Retail,Resale,9,22,228796,Central Region,Orchard,2078,,103.840725754068,1.30198321610318
223,CUPPAGE PLAZA,5 Koek Road #04 -09,32,Strata,745000,23281,23-Aug-18,Retail,Resale,9,22,228796,Central Region,Orchard,2078,,103.840725754068,1.30198321610318
224,CUPPAGE PLAZA,5 Koek Road #04 -08,38,Strata,745000,19605,23-Aug-18,Retail,Resale,9,22,228796,Central Region,Orchard,2078,,103.840725754068,1.30198321610318
225,THE PLAZA,7500A Beach Road #12 -317,64,Strata,853326,13333,23-Aug-18,Office,Resale,7,19,199591,Central Region,Kallang,2067,,103.860828918228,1.29977475328951
226,THE PLAZA,7500A Beach Road #12 -316,47,Strata,626681,13334,23-Aug-18,Office,Resale,7,19,199591,Central Region,Kallang,2067,,103.860828918228,1.29977475328951
227,TELOK AYER CONSERVATION AREA,96 Amoy Street,193,Land,15688000,81117,20-Aug-18,Shop House,Resale,1,6,69916,Central Region,Outram,2826,,-1,-1
228,ARC 380,380 Jalan Besar #05 -04,68,Strata,1939800,28526,20-Aug-18,Office,Resale,8,20,209000,Central Region,Kallang,99999,,103.860335049351,1.31321743601324
229,TANGLIN SHOPPING CENTRE,"19 Tanglin Road #05 -08,09",71,Strata,2160000,30423,17-Aug-18,Retail,Resale,10,24,247909,Central Region,Orchard,99999,,103.827050588428,1.30640271091405
230,ORCHARD TOWERS,400 Orchard Road #12 -12,37,Strata,840000,22703,17-Aug-18,Office,Resale,9,23,238875,Central Region,Orchard,99999,,103.82921413868,1.30697796554332
231,N.A.,84 Syed Alwi Road,179,Land,7800000,43503,16-Aug-18,Shop House,Resale,8,20,207663,Central Region,Rochor,99999,,103.855855474346,1.30909263093836
232,SPCS BUILDING,250 Sims Avenue #01 -01,172,Strata,4812600,27980,16-Aug-18,Office,Resale,14,38,387513,Central Region,Geylang,99999,,103.882620778932,1.31488487445962
233,INTERNATIONAL PLAZA,10 Anson Road #33 -16,217,Strata,4088000,18839,16-Aug-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
234,INTERNATIONAL PLAZA,10 Anson Road #33 -15,175,Strata,3297000,18840,16-Aug-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
235,INTERNATIONAL PLAZA,10 Anson Road #33 -14,217,Strata,4088000,18839,16-Aug-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
236,INTERNATIONAL PLAZA,"10 Anson Road #33 -01,01A",92,Strata,1732500,18832,16-Aug-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
237,FAR EAST SHOPPING CENTRE,545 Orchard Road #05 -20,25,Strata,855000,34200,16-Aug-18,Retail,Resale,9,23,238882,Central Region,Orchard,2870,,103.829984821742,1.30550610776289
238,LITTLE INDIA CONSERVATION AREA,11 Chander Road,192,Land,6800000,35472,16-Aug-18,Shop House,Resale,8,21,219529,Central Region,Rochor,99999,,103.850975638425,1.30785906038344
239,N.A.,"67,67A Brighton Crescent",111,Land,2680000,24231,16-Aug-18,Shop House,Resale,19,55,559212,North East Region,Serangoon,99999,,103.871162880134,1.36276185579701
240,N.A.,"16,16A Moonstone Lane",134,Land,2960000,22040,15-Aug-18,Shop House,Resale,12,32,328458,Central Region,Kallang,99999,,103.8666410629,1.327143556356
241,INTERNATIONAL PLAZA,"10 Anson Road #27 -05,05A",87,Strata,1720000,19770,13-Aug-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
242,N.A.,"145,145A Upper Paya Lebar Road",377,Land,6700000,17781,13-Aug-18,Shop House,Resale,19,53,534848,Central Region,Toa Payoh,99999,,103.886018951551,1.3389898978456
243,ORCHARD TOWERS,400 Orchard Road #06 -19,60,Strata,1400000,23333,13-Aug-18,Office,Resale,9,23,238875,Central Region,Orchard,99999,,103.82921413868,1.30697796554332
244,FAR EAST SHOPPING CENTRE,545 Orchard Road #05 -21,26,Strata,890000,34231,10-Aug-18,Retail,Resale,9,23,238882,Central Region,Orchard,2870,,103.829984821742,1.30550610776289
245,ICON@CHANGI,228 Changi Road #04 -06,34,Strata,540000,15882,10-Aug-18,Office,Resale,14,41,419741,Central Region,Geylang,99999,,103.904690339855,1.31724236528867
246,N.A.,146 Race Course Road,131,Strata,3200000,24427,8-Aug-18,Retail,Resale,8,21,218595,Central Region,Rochor,99999,,103.852482641077,1.31002686920413
247,PAYA LEBAR SQUARE,60 Paya Lebar Road #10 -38,88,Strata,1894000,21523,7-Aug-18,Office,Resale,14,40,409051,Central Region,Geylang,2110,,103.892580778514,1.31881487007652
248,SUNTEC CITY,9 Temasek Boulevard #36 -02A,204,Strata,5550000,27206,7-Aug-18,Office,Resale,1,3,38989,Central Region,Downtown Core,2088,,-1,-1
249,FAR EAST PLAZA,14 Scotts Road #02 -51,28,Strata,1288000,46000,6-Aug-18,Retail,Resale,9,22,228213,Central Region,Orchard,99999,,103.833792932243,1.30717698071191
250,N.A.,235 Joo Chiat Road,134,Land,3900000,29213,3-Aug-18,Shop House,Resale,15,42,427492,Central Region,Geylang,99999,,103.901430903415,1.31106780027471
251,TELOK AYER CONSERVATION AREA,64 Club Street,209,Land,21800000,104306,3-Aug-18,Shop House,Resale,1,6,69438,Central Region,Outram,2826,,-1,-1
252,TELOK BLANGAH HOUSE,52 Telok Blangah Road #03 -06,78,Strata,1266000,16231,3-Aug-18,Office,Resale,4,9,98829,Central Region,Bukit Merah,99999,,-1,-1
253,CHINATOWN POINT,133 New Bridge Road #10 -10,101,Strata,1875000,18564,3-Aug-18,Office,Resale,1,5,59413,Central Region,Outram,2079,,-1,-1
254,INTERNATIONAL PLAZA,10 Anson Road #14 -08,219,Strata,3740900,17082,2-Aug-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
255,TANGLIN SHOPPING CENTRE,19 Tanglin Road #02 -50,6,Strata,438000,73000,2-Aug-18,Retail,Resale,10,24,247909,Central Region,Orchard,99999,,103.827050588428,1.30640271091405
256,INTERNATIONAL PLAZA,10 Anson Road #12 -08,219,Strata,3740900,17082,2-Aug-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
257,INTERNATIONAL PLAZA,10 Anson Road #12 -06,219,Strata,3740900,17082,2-Aug-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
258,INTERNATIONAL PLAZA,10 Anson Road #23 -06,219,Strata,3861000,17630,1-Aug-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
259,DESKER ROAD CONSERVATION AREA,3 Townshend Road,128,Land,4500000,35074,1-Aug-18,Shop House,Resale,8,20,207601,Central Region,Kallang,99999,,103.85825421611,1.30777329851386
260,TONG ENG BUILDING,101 Cecil Street #09 -01,114,Strata,3050888,26762,1-Aug-18,Office,Resale,1,6,69533,Central Region,Downtown Core,2884,,-1,-1
261,SHENTON HOUSE,3 Shenton Way #22 -07,41,Strata,837900,20437,31-Jul-18,Office,Resale,1,6,68805,Central Region,Downtown Core,2068,,-1,-1
262,PARKLANE SHOPPING MALL,35 Selegie Road #09 -21,48,Strata,600000,12500,31-Jul-18,Office,Resale,7,18,188307,Central Region,Rochor,2073,,103.849448612005,1.30064530196808
263,FORTUNE CENTRE,190 Middle Road #02 -01,52,Strata,1310000,25192,31-Jul-18,Retail,Resale,7,18,188979,Central Region,Rochor,2079,,103.852286627386,1.30042241913977
264,LITTLE INDIA CONSERVATION AREA,19 Chander Road,55,Land,2400000,43400,31-Jul-18,Shop House,Resale,8,21,219532,Central Region,Rochor,99999,,103.85106030482,1.30794528648697
265,CENTROPOD @ CHANGI,80 Changi Road #01 -31,11,Strata,350000,31818,30-Jul-18,Retail,Resale,14,41,419715,Central Region,Geylang,99999,,103.900524938485,1.31633425292092
266,INTERNATIONAL PLAZA,10 Anson Road #12 -07,135,Strata,2470300,18299,30-Jul-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
267,WOODS SQUARE,"12 Woodlands Square #07 -75,76",140,Strata,2922570,20876,30-Jul-18,Office,New Sale,25,73,737715,North Region,Woodlands,2113,,103.784539481204,1.4353056289408
268,N.A.,"87,87A,87B,87C Geylang Road",114,Land,4125000,36152,27-Jul-18,Shop House,Resale,14,38,389202,Central Region,Kallang,99999,,103.873057696619,1.31085060360945
