Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
FU LU SHOU COMPLEX,149 Rochor Road #02 -14,55,Strata,1680000,30545,2838,28-Aug-14,Retail,99 Yrs From 16/06/1980,Resale,7,18,188425,Central Region,Rochor
SBF CENTER,160 Robinson Road #28 -09,55,Strata,2050000,37273,3463,28-Aug-14,Office,99 Yrs From 21/12/2011,New Sale,1,6,68914,Central Region,Downtown Core
N.A.,21 Jalan Besar,128,Land,5200000,40562,3768,26-Aug-14,Shop House,999 Yrs From 11/02/1873,Resale,8,20,208793,Central Region,Rochor
JUNCTION NINE,18 Yishun Avenue 9 #02 -26,27,Strata,1121360,41532,3858,26-Aug-14,Retail,99 Yrs From 30/04/2013,Sub Sale,27,76,768897,North Region,Yishun
GOLDEN MILE COMPLEX,5001 Beach Road #03 -45,47,Strata,520000,11064,1028,26-Aug-14,Retail,99 Yrs From 04/08/1969,Resale,7,19,199588,Central Region,Kallang
HAVELOCK2,2 Havelock Road #01 -47,16,Strata,824000,51500,4784,26-Aug-14,Retail,99 Yrs From 04/05/1983,New Sale,1,5,59763,Central Region,Singapore River
CITY PLAZA,810 Geylang Road #02 -95,23,Strata,820000,35652,3312,26-Aug-14,Retail,Freehold,Resale,14,40,409286,Central Region,Geylang
CITY GATE,371 Beach Road #B1 -44,83,Strata,3078750,37093,3446,26-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
HAVELOCK2,2 Havelock Road #06 -08,99,Strata,2416000,24404,2267,26-Aug-14,Office,99 Yrs From 04/05/1983,New Sale,1,5,59763,Central Region,Singapore River
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit #02 -09A,19,Strata,620000,32632,3032,26-Aug-14,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
GB BUILDING,"143 Cecil Street #20 -01,02,03,04 ETC",1492,Strata,31688000,21239,1973,25-Aug-14,Office,99 Yrs From 12/10/1982,Resale,1,6,69542,Central Region,Downtown Core
THE ADELPHI,1 Coleman Street #05 -13,118,Strata,2730500,23140,2150,25-Aug-14,Office,999 Yrs From 12/05/1828,Resale,6,17,179803,Central Region,Downtown Core
TRIO,11 Sam Leong Road #01 -05,25,Strata,1181000,47240,4389,25-Aug-14,Retail,Freehold,New Sale,8,20,207903,Central Region,Kallang
TRIO,11 Sam Leong Road #01 -04,26,Strata,1229000,47269,4391,25-Aug-14,Retail,Freehold,New Sale,8,20,207903,Central Region,Kallang
THE CITRON,1 Marne Road #01 -02,49,Strata,1260000,25714,2389,25-Aug-14,Retail,Freehold,New Sale,8,20,208380,Central Region,Kallang
VISION EXCHANGE,2 Venture Drive #12 -27,48,Strata,1204000,25083,2330,22-Aug-14,Office,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
THE CITRON,1 Marne Road #01 -05,49,Strata,1315400,26845,2494,22-Aug-14,Retail,Freehold,New Sale,8,20,208380,Central Region,Kallang
PENINSULA SHOPPING COMPLEX,3 Coleman Street #03 -21,31,Strata,850000,27419,2547,22-Aug-14,Retail,999 Yrs From 17/03/1828,Resale,6,17,179804,Central Region,Downtown Core
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road #05 -16,17,Strata,530000,31176,2896,22-Aug-14,Office,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
THE GOLDEN LANDMARK,390 Victoria Street #03 -48,29,Strata,615000,21207,1970,22-Aug-14,Retail,99 Yrs From 30/04/1981,Resale,7,18,188061,Central Region,Rochor
THE CITRON,1 Marne Road #01 -06,53,Strata,1416600,26728,2483,22-Aug-14,Retail,Freehold,New Sale,8,20,208380,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -45,67,Strata,2580000,38507,3577,21-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
NOVENA REGENCY,275 Thomson Road #01 -36,26,Strata,2250000,86538,8040,21-Aug-14,Retail,Freehold,New Sale,11,30,307645,Central Region,Novena
THE CITRON,1 Marne Road #01 -23,40,Strata,891300,22283,2070,21-Aug-14,Retail,Freehold,New Sale,8,20,208380,Central Region,Kallang
VISION EXCHANGE,2 Venture Drive #10 -29,48,Strata,1196000,24917,2315,20-Aug-14,Office,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
HAVELOCK2,2 Havelock Road #02 -28,22,Strata,1052000,47818,4442,20-Aug-14,Retail,99 Yrs From 04/05/1983,New Sale,1,5,59763,Central Region,Singapore River
CITY GATE,371 Beach Road #02 -12,48,Strata,2198250,45797,4255,20-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
HAVELOCK2,2 Havelock Road #01 -18,19,Strata,1127000,59316,5511,20-Aug-14,Retail,99 Yrs From 04/05/1983,New Sale,1,5,59763,Central Region,Singapore River
THE CITRON,1 Marne Road #01 -33,47,Strata,1049500,22330,2074,20-Aug-14,Retail,Freehold,New Sale,8,20,208380,Central Region,Kallang
CITY GATE,371 Beach Road #02 -13,48,Strata,2198250,45797,4255,20-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -46,49,Strata,2368500,48337,4491,20-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
HAVELOCK2,2 Havelock Road #07 -24,33,Strata,886080,26851,2495,20-Aug-14,Office,99 Yrs From 04/05/1983,New Sale,1,5,59763,Central Region,Singapore River
CITY GATE,371 Beach Road #02 -47,26,Strata,1188000,45692,4245,20-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -14,50,Strata,2938500,58770,5460,20-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
ARC 380,380 Jalan Besar #01 -05,21,Strata,1540000,73333,6813,20-Aug-14,Retail,Freehold,New Sale,8,20,209000,Central Region,Kallang
CITY GATE,371 Beach Road #02 -14,47,Strata,2268000,48255,4483,20-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -47,38,Strata,1948500,51276,4764,20-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
RACE COURSE RD/OWEN RD CON AREA,446 Race Course Road,120,Land,4400000,36728,3412,20-Aug-14,Shop House,Freehold,Resale,8,21,218689,Central Region,Rochor
CITY GATE,371 Beach Road #01 -33,56,Strata,2323000,41482,3854,19-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
HIGH STREET CENTRE,1 North Bridge Road #02 -22,23,Strata,330000,14348,1333,19-Aug-14,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
HAVELOCK2,2 Havelock Road #01 -08,33,Strata,2255000,68333,6348,18-Aug-14,Retail,99 Yrs From 04/05/1983,New Sale,1,5,59763,Central Region,Singapore River
VISION EXCHANGE,2 Venture Drive #10 -11,71,Strata,1702000,23972,2227,18-Aug-14,Office,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
SYCAMORE TREE,2 Fowlie Road #01 -11,67,Strata,2050000,30597,2843,18-Aug-14,Retail,Freehold,Sub Sale,15,42,428505,Central Region,Marine Parade
HAVELOCK2,2 Havelock Road #06 -10,33,Strata,886000,26848,2494,18-Aug-14,Office,99 Yrs From 04/05/1983,New Sale,1,5,59763,Central Region,Singapore River
VISION EXCHANGE,2 Venture Drive #06 -11,71,Strata,1676000,23606,2193,18-Aug-14,Office,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
CHINATOWN POINT,133 New Bridge Road #10 -04,69,Strata,1580000,22899,2127,18-Aug-14,Office,99 Yrs From 12/11/1980,Resale,1,5,59413,Central Region,Outram
UPPER SERANGOON SHOPPING CENTRE,756 Upper Serangoon Road #04 -31,11,Strata,248888,22626,2102,18-Aug-14,Retail,Freehold,Resale,19,53,534626,North East Region,Hougang
CITY GATE,371 Beach Road #B1 -15,436,Strata,16000000,36697,3409,18-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
VISION EXCHANGE,2 Venture Drive #11 -27,48,Strata,1219000,25396,2359,18-Aug-14,Office,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
SINGAPORE SHOPPING CENTRE,190 Clemenceau Avenue #01 -18,41,Strata,999000,24366,2264,18-Aug-14,Retail,99 Yrs From 01/05/1948,Resale,9,23,239924,Central Region,Museum
VISION EXCHANGE,2 Venture Drive #16 -28,48,Strata,1263000,26313,2444,18-Aug-14,Office,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
N.A.,"592B,592C Sembawang Road",116,Land,3300000,28424,2641,17-Aug-14,Shop House,999 Yrs From 26/03/1885,Resale,27,75,758451,North Region,Sembawang
BUKIT PASOH EXTNSN CONSTN AREA,"43,43A,43B Keong Saik Road",107,Land,7808800,73253,6805,15-Aug-14,Shop House,Freehold,Resale,2,8,89147,Central Region,Outram
CITY GATE,371 Beach Road #B1 -24,40,Strata,1248000,31200,2899,14-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
HAVELOCK2,2 Havelock Road #01 -41,24,Strata,966000,40250,3739,14-Aug-14,Retail,99 Yrs From 04/05/1983,New Sale,1,5,59763,Central Region,Singapore River
GOLDEN MILE TOWER,6001 Beach Road #08 -07,85,Strata,1006500,11841,1100,14-Aug-14,Office,99 Yrs From 09/06/1969,Resale,7,19,199589,Central Region,Kallang
CITY GATE,371 Beach Road #02 -33,59,Strata,1968000,33356,3099,14-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -35,55,Strata,2958000,53782,4996,14-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -53,32,Strata,1068000,33375,3101,14-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
HAVELOCK2,2 Havelock Road #01 -13,24,Strata,1695200,70633,6562,14-Aug-14,Retail,99 Yrs From 04/05/1983,New Sale,1,5,59763,Central Region,Singapore River
CITY GATE,371 Beach Road #B1 -18,31,Strata,1528500,49306,4581,14-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #02 -58,36,Strata,1468500,40792,3790,14-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -28,38,Strata,1378500,36276,3370,13-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -12,33,Strata,2238000,67818,6300,13-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #02 -43,42,Strata,1938000,46143,4287,13-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -52,28,Strata,868500,31018,2882,13-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
TYRWHITT 139,139 Tyrwhitt Road #01 -03,39,Strata,920000,23590,2192,13-Aug-14,Retail,Freehold,Resale,8,20,207557,Central Region,Kallang
PAYA LEBAR SQUARE,60 Paya Lebar Road #05 -55,50,Strata,1130000,22600,2100,13-Aug-14,Office,99 Yrs From 25/07/2011,Sub Sale,14,40,409051,Central Region,Geylang
CITY GATE,371 Beach Road #02 -03,97,Strata,4580250,47219,4387,13-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -21,53,Strata,1768500,33368,3100,13-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -54,30,Strata,1038000,34600,3214,13-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -17,31,Strata,1528500,49306,4581,13-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -55,42,Strata,1568250,37339,3469,13-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -22,54,Strata,1798500,33306,3094,13-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -13,40,Strata,2468250,61706,5733,13-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road #01 -34,26,Strata,700000,26923,2501,12-Aug-14,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
CITY GATE,371 Beach Road #01 -51,39,Strata,1998000,51231,4759,12-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
JUNCTION NINE,18 Yishun Avenue 9 #02 -04,52,Strata,1790000,34423,3198,12-Aug-14,Retail,99 Yrs From 30/04/2013,Sub Sale,27,76,768897,North Region,Yishun
CITY GATE,371 Beach Road #01 -01,72,Strata,4480500,62229,5781,12-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -62,40,Strata,1468500,36713,3411,12-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #02 -02,78,Strata,3858000,49462,4595,12-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -44,34,Strata,1388250,40831,3793,12-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -52,39,Strata,1998000,51231,4759,12-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
VISION EXCHANGE,2 Venture Drive #10 -24,48,Strata,1196000,24917,2315,12-Aug-14,Office,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
CITY GATE,371 Beach Road #B1 -27,37,Strata,1278000,34541,3209,12-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -74,40,Strata,1478250,36956,3433,12-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #02 -18,27,Strata,1788000,66222,6152,11-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -41,40,Strata,1880250,47006,4367,11-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -22,31,Strata,1728000,55742,5179,11-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #02 -38,30,Strata,1088250,36275,3370,11-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road #06 -55,33,Strata,1530000,46364,4307,11-Aug-14,Retail,99 Yrs From 08/04/1983,Resale,7,18,188504,Central Region,Rochor
CITY GATE,371 Beach Road #02 -59,38,Strata,1468500,38645,3590,11-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -73,38,Strata,1398000,36789,3418,11-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
MACPHERSON MALL,401 Macpherson Road #02 -20,52,Strata,2795000,53750,4993,11-Aug-14,Retail,Freehold,New Sale,13,36,368125,Central Region,Toa Payoh
CITY GATE,371 Beach Road #02 -20,35,Strata,1738500,49671,4615,11-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #02 -01,53,Strata,2780250,52458,4873,11-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -76,39,Strata,1248000,32000,2973,11-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -02,75,Strata,4599900,61332,5698,8-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -28,45,Strata,1738500,38633,3589,8-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -49,30,Strata,1868000,62267,5785,8-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -04,73,Strata,4480200,61373,5702,8-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
N.A.,"55,55A Bussorah Street",262,Land,8800000,33639,3125,8-Aug-14,Shop House,99 Yrs From 03/11/2003,Resale,7,19,199471,Central Region,Rochor
SUNSHINE PLAZA,91 Bencoolen Street #09 -03,59,Strata,1261768,21386,1987,8-Aug-14,Office,99 Yrs From 19/03/1997,Resale,7,18,189652,Central Region,Rochor
CITY GATE,371 Beach Road #01 -11,41,Strata,2698500,65817,6115,7-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #02 -56,34,Strata,1431307,42097,3911,7-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -23,42,Strata,1478250,35196,3270,7-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #02 -57,32,Strata,1341757,41930,3895,7-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -39,42,Strata,1868250,44482,4132,7-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #01 -27,52,Strata,2328000,44769,4159,6-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road #B1 -25,41,Strata,1278750,31189,2898,5-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
PAVILION SQUARE,345 Geylang Road #B1 -18,28,Strata,1456999,52036,4834,5-Aug-14,Retail,Freehold,New Sale,14,38,389366,Central Region,Geylang
ORCHARD TOWERS,400 Orchard Road #10 -02,80,Strata,1700000,21250,1974,4-Aug-14,Office,Freehold,Resale,9,23,238875,Central Region,Orchard
CITY GATE,371 Beach Road #B1 -26,41,Strata,1278750,31189,2898,4-Aug-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
PENINSULA PLAZA,111 North Bridge Road #07 -11,118,Strata,3400000,28814,2677,1-Aug-14,Office,999 Yrs From 29/10/1829,Resale,6,17,179098,Central Region,Downtown Core
ONE MARINA BOULEVARD,1 Marina Boulevard,3713,Land,515900000,138963,12910,1-Aug-14,Office,94 Yrs From 01/04/2006,Resale,1,1,18989,Central Region,Downtown Core
BUKIT PASOH CONSERVATION AREA,6 Bukit Pasoh Road,127,Land,7550000,59637,5540,31-Jul-14,Shop House,Freehold,Resale,2,8,89820,Central Region,Outram
TANGLIN SHOPPING CENTRE,19 Tanglin Road #B1 -07,54,Strata,2300000,42593,3957,31-Jul-14,Retail,Freehold,Resale,10,24,247909,Central Region,Orchard
FAR EAST SHOPPING CENTRE,545 Orchard Road #09 -02,33,Strata,1065000,32273,2998,31-Jul-14,Office,999 Yrs From 30/10/1871,Resale,9,23,238882,Central Region,Orchard
LE REGAL,340 Geylang Road #01 -02,10,Strata,540000,54000,5017,30-Jul-14,Retail,Freehold,Sub Sale,14,38,389365,Central Region,Geylang
MACPHERSON MALL,401 Macpherson Road #03 -15,57,Strata,2548000,44702,4153,30-Jul-14,Retail,Freehold,New Sale,13,36,368125,Central Region,Toa Payoh
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil #01 -08,9,Strata,416567,46285,4300,30-Jul-14,Retail,Freehold,Resale,21,59,596180,Central Region,Bukit Timah
MACPHERSON MALL,401 Macpherson Road #03 -16,70,Strata,3652000,52209,4850,30-Jul-14,Retail,Freehold,New Sale,13,36,368125,Central Region,Toa Payoh
FORTUNE CENTRE,190 Middle Road #03 -25,31,Strata,748000,24129,2242,29-Jul-14,Retail,99 Yrs From 18/10/1980,Resale,7,18,188979,Central Region,Rochor
MAXWELL HOUSE,20 Maxwell Road #02 -15,25,Strata,490000,19600,1821,29-Jul-14,Office,99 Yrs From 02/06/1969,Resale,1,6,69113,Central Region,Outram
CITY PLAZA,810 Geylang Road #03 -44,20,Strata,500000,25000,2323,28-Jul-14,Retail,Freehold,Resale,14,40,409286,Central Region,Geylang
VISION EXCHANGE,2 Venture Drive #11 -09,143,Strata,3011000,21056,1956,25-Jul-14,Office,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
INTERNATIONAL PLAZA,10 Anson Road #28 -04,43,Strata,1105644,25713,2389,25-Jul-14,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
HIGH STREET PLAZA,77 High Street #10 -02,57,Strata,1400000,24561,2282,25-Jul-14,Office,999 Yrs From 11/06/1827,Resale,6,17,179433,Central Region,Downtown Core
CITY GATE,371 Beach Road #02 -35,42,Strata,1438500,34250,3182,25-Jul-14,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
HIGH STREET PLAZA,77 High Street #10 -01,35,Strata,1000000,28571,2654,25-Jul-14,Office,999 Yrs From 11/06/1827,Resale,6,17,179433,Central Region,Downtown Core
VISION EXCHANGE,2 Venture Drive #11 -10,78,Strata,1831000,23474,2181,25-Jul-14,Office,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
VISION EXCHANGE,2 Venture Drive #10 -28,48,Strata,1196000,24917,2315,25-Jul-14,Office,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
ALEXANDRA CENTRAL,321 Alexandra Road #02 -32,15,Strata,960000,64000,5946,25-Jul-14,Retail,99 Yrs From 05/03/2012,New Sale,3,15,159971,Central Region,Bukit Merah
THE FLOW,66 East Coast Road #03 -09,72,Strata,3180600,44175,4104,24-Jul-14,Retail,Freehold,New Sale,15,42,428778,Central Region,Marine Parade
COCO PALMS,"21 Pasir Ris Grove #01 -35,36",112,Strata,2571000,22955,2133,24-Jul-14,Retail,99 Yrs From 07/01/2008,New Sale,18,51,518070,East Region,Pasir Ris
MACPHERSON MALL,401 Macpherson Road #B1 -09,70,Strata,2861400,40877,3798,24-Jul-14,Retail,Freehold,New Sale,13,36,368125,Central Region,Toa Payoh
COCO PALMS,21 Pasir Ris Grove #01 -31,56,Strata,1095000,19554,1817,24-Jul-14,Retail,99 Yrs From 07/01/2008,New Sale,18,51,518070,East Region,Pasir Ris
GOLDEN MILE TOWER,6001 Beach Road #01 -55D,34,Strata,980000,28824,2678,24-Jul-14,Retail,99 Yrs From 09/06/1969,Resale,7,19,199589,Central Region,Kallang
INTERNATIONAL PLAZA,10 Anson Road #15 -10,43,Strata,1050000,24419,2269,24-Jul-14,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
COCO PALMS,21 Pasir Ris Grove #01 -32,94,Strata,1476000,15702,1459,24-Jul-14,Retail,99 Yrs From 07/01/2008,New Sale,18,51,518070,East Region,Pasir Ris
KAMPONG GLAM CONSERVATION AREA,28 Bali Lane,67,Land,4380000,65471,6082,23-Jul-14,Shop House,999 Yrs From 06/06/1833,Resale,7,18,189864,Central Region,Rochor
ROYALVILLE,833 Bukit Timah Road #01 -01,158,Strata,5000000,31646,2940,23-Jul-14,Retail,Freehold,Resale,10,27,279887,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road #02 -52,38,Strata,1750000,46053,4278,23-Jul-14,Office,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
HIGH STREET CENTRE,1 North Bridge Road #15 -01,73,Strata,1493400,20458,1901,23-Jul-14,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
VISION EXCHANGE,2 Venture Drive #12 -05,48,Strata,1204000,25083,2330,22-Jul-14,Office,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
CONCORDE SHOPPING CENTRE,317 Outram Road #02 -30,19,Strata,336600,17716,1646,22-Jul-14,Retail,99 Yrs From 16/06/1980,Resale,3,16,169075,Central Region,Bukit Merah
PAYA LEBAR SQUARE,60 Paya Lebar Road #13 -23,89,Strata,2053296,23071,2143,21-Jul-14,Office,99 Yrs From 25/07/2011,New Sale,14,40,409051,Central Region,Geylang
THE CENTRAL,6 Eu Tong Sen Street #09 -14,59,Strata,1740000,29492,2740,18-Jul-14,Office,99 Yrs From 02/01/2001,Resale,1,5,59817,Central Region,Singapore River
ORCHARD TOWERS,400 Orchard Road #06 -02,30,Strata,600000,20000,1858,18-Jul-14,Office,Freehold,Resale,9,23,238875,Central Region,Orchard
VISION EXCHANGE,2 Venture Drive #11 -25,48,Strata,1200000,25000,2323,18-Jul-14,Office,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
HOA NAM BUILDING,27 Foch Road #03 -12,22,Strata,550000,25000,2323,18-Jul-14,Office,Freehold,Resale,8,20,209264,Central Region,Kallang
MANHATTAN HOUSE,151 Chin Swee Road #01 -31,14,Strata,338000,24143,2243,18-Jul-14,Retail,99 Yrs From 15/10/1969,Resale,3,16,169876,Central Region,Outram
N.A.,171 Selegie Road,90,Land,3900000,43237,4017,18-Jul-14,Shop House,Freehold,Resale,7,18,188323,Central Region,Rochor
HIGH STREET CENTRE,1 North Bridge Road #10 -07,51,Strata,1075000,21078,1958,17-Jul-14,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
MIDPOINT ORCHARD,220 Orchard Road #02 -03,30,Strata,1030000,34333,3190,17-Jul-14,Retail,Freehold,Resale,9,23,238852,Central Region,Orchard
N.A.,188-9 Tanjong Katong Road,136,Strata,2450000,18015,1674,16-Jul-14,Shop House,Freehold,Resale,15,43,436990,Central Region,Marine Parade
CHINATOWN POINT,133 New Bridge Road #14 -06,67,Strata,1700000,25373,2357,16-Jul-14,Office,99 Yrs From 12/11/1980,Resale,1,5,59413,Central Region,Outram
N.A.,188-10 Tanjong Katong Road,133,Strata,2450000,18421,1711,16-Jul-14,Shop House,Freehold,Resale,15,43,436990,Central Region,Marine Parade
INTERNATIONAL PLAZA,10 Anson Road #10 -23,43,Strata,1000000,23256,2161,16-Jul-14,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
