Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
GOLDEN MILE TOWER,6001 Beach Road #01 -04,22,Strata,478000,21727,2019,19-Dec-18,Office,99 Yrs From 09/06/1969,Resale,7,19,199589,Central Region,Kallang
TANGLIN SHOPPING CENTRE,19 Tanglin Road #02 -09,36,Strata,1430000,39722,3690,19-Dec-18,Retail,Freehold,Resale,10,24,247909,Central Region,Orchard
N.A.,298 Changi Road,116,Strata,2000000,17241,1602,18-Dec-18,Shop House,Freehold,Resale,14,41,419776,East Region,Bedok
REGENCY SUITES,38 Kim Tian Road #06 -09,93,Strata,1609000,17301,1607,17-Dec-18,Office,Freehold,Resale,3,16,169262,Central Region,Bukit Merah
BUGIS CUBE,470 North Bridge Road #03 -03,12,Strata,633000,52750,4901,17-Dec-18,Retail,999 Yrs From 25/01/1827,Resale,7,18,188735,Central Region,Downtown Core
CAVAN SUITES,11 Cavan Road #01 -02,36,Strata,918000,25500,2369,14-Dec-18,Office,Freehold,Resale,8,20,209848,Central Region,Kallang
PEOPLE~S PARK CENTRE,101 Upper Cross Street #03 -85,36,Strata,850000,23611,2194,13-Dec-18,Office,99 Yrs From 02/06/1970,Resale,1,5,58357,Central Region,Outram
SERANGOON GARDEN ESTATE,65 Serangoon Garden Way,201,Land,8800088,43695,4059,13-Dec-18,Shop House,999 Yrs From 01/01/1956,Resale,19,55,555961,North East Region,Serangoon
28 RC SUITES,28 Race Course Lane #01 -07,31,Strata,1230000,39677,3686,12-Dec-18,Retail,Freehold,Resale,8,21,218746,Central Region,Rochor
PS100,100 Peck Seah Street #08 -16,44,Strata,1150000,26136,2428,12-Dec-18,Office,99 Yrs From 13/04/2011,Resale,2,7,79333,Central Region,Outram
SUNTEC CITY,8 Temasek Boulevard #43 -03,192,Strata,6569900,34218,3179,11-Dec-18,Office,99 Yrs From 01/03/1989,Resale,1,3,38988,Central Region,Downtown Core
GEYLANG CONSERVATION AREA,682 Geylang Road,138,Land,3300000,23861,2217,11-Dec-18,Shop House,Freehold,Resale,14,38,389607,Central Region,Geylang
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road #02 -13,15,Strata,565000,37667,3499,10-Dec-18,Office,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
BOAT QUAY CONSERVATION AREA,"49,49A,49B South Bridge Road",132,Land,13800000,104784,9735,10-Dec-18,Shop House,999 Yrs From 10/08/1831,Resale,1,5,58681,Central Region,Singapore River
CHINATOWN POINT,"133 New Bridge Road #08 -05,06",134,Strata,2800000,20896,1941,10-Dec-18,Office,99 Yrs From 12/11/1980,Resale,1,5,59413,Central Region,Outram
ROBINSON SQUARE,144 Robinson Road #13 -02,110,Strata,3200000,29091,2703,7-Dec-18,Office,Freehold,Resale,1,6,68908,Central Region,Downtown Core
ONZE @ TANJONG PAGAR,11 Kee Seng Street #01 -04,40,Strata,2755600,68890,6400,7-Dec-18,Retail,Freehold,Resale,2,8,89218,Central Region,Outram
SUNSHINE PLAZA,91 Bencoolen Street #01 -30,13,Strata,520000,40000,3716,6-Dec-18,Retail,99 Yrs From 19/03/1997,Resale,7,18,189652,Central Region,Rochor
